Time,Temperature [°C],pF-Value [-]
2025-05-06T19:10,21.92,0.0
2025-05-06T19:12,21.84,0.0
2025-05-06T19:14,21.85,0.0
2025-05-06T19:16,21.84,0.0
2025-05-06T19:18,21.82,0.0
2025-05-06T19:20,21.89,0.0
2025-05-06T19:22,21.82,0.0
2025-05-06T19:24,21.82,0.0
2025-05-06T19:26,21.77,0.0
2025-05-06T19:28,21.77,0.0
2025-05-06T19:30,21.81,0.0
2025-05-06T19:32,21.8,0.0
2025-05-06T19:34,21.82,0.0
2025-05-06T19:36,21.82,0.0
2025-05-06T19:38,21.77,0.0
2025-05-06T19:40,21.75,0.0
2025-05-06T19:42,21.75,0.0
2025-05-06T19:44,21.72,0.0
2025-05-06T19:46,21.73,0.0
2025-05-06T19:48,21.75,0.0
2025-05-06T19:50,21.78,0.0
2025-05-06T19:52,21.76,0.0
2025-05-06T19:54,21.74,0.0
2025-05-06T19:56,21.7,0.0
2025-05-06T19:58,21.74,0.0
2025-05-06T20:00,21.63,0.0
2025-05-06T20:02,21.66,0.0
2025-05-06T20:04,21.65,0.0
2025-05-06T20:06,21.64,0.0
2025-05-06T20:08,21.64,0.0
2025-05-06T20:10,21.67,0.0
2025-05-06T20:12,21.66,0.0
2025-05-06T20:14,21.66,0.0
2025-05-06T20:16,21.62,0.0
2025-05-06T20:18,21.56,0.0
2025-05-06T20:20,21.67,0.0
2025-05-06T20:22,21.62,0.0
2025-05-06T20:24,21.56,0.0
2025-05-06T20:26,21.63,0.0
2025-05-06T20:28,21.6,0.0
2025-05-06T20:30,21.6,0.0
2025-05-06T20:32,21.63,0.0
2025-05-06T20:34,21.59,0.0
2025-05-06T20:36,21.58,0.0
2025-05-06T20:38,21.54,0.0
2025-05-06T20:40,21.51,0.0
2025-05-06T20:42,21.55,0.0
2025-05-06T20:44,21.47,0.0
2025-05-06T20:46,21.49,0.0
2025-05-06T20:48,21.51,0.0
2025-05-06T20:50,21.61,0.0
2025-05-06T20:52,21.54,0.0
2025-05-06T20:54,21.52,0.0
2025-05-06T20:56,21.56,0.0
2025-05-06T20:58,21.48,0.0
2025-05-06T21:00,21.49,0.0
2025-05-06T21:02,21.48,0.0
2025-05-06T21:04,21.55,0.0
2025-05-06T21:06,21.48,0.0
2025-05-06T21:08,21.56,0.0
2025-05-06T21:10,21.45,0.0
2025-05-06T21:12,21.5,0.0
2025-05-06T21:14,21.39,0.0
2025-05-06T21:16,21.47,0.0
2025-05-06T21:18,21.36,0.0
2025-05-06T21:20,21.39,0.0
2025-05-06T21:22,21.4,0.0
2025-05-06T21:24,21.46,0.0
2025-05-06T21:26,21.39,0.0
2025-05-06T21:28,21.44,0.0
2025-05-06T21:30,21.44,0.0
2025-05-06T21:32,21.42,0.0
2025-05-06T21:34,21.35,0.0
2025-05-06T21:36,21.41,0.0
2025-05-06T21:38,21.38,0.0
2025-05-06T21:40,21.35,0.0
2025-05-06T21:42,21.32,0.0
2025-05-06T21:44,21.33,0.0
2025-05-06T21:46,21.32,0.0
2025-05-06T21:48,21.32,0.0
2025-05-06T21:50,21.29,0.0
2025-05-06T21:52,21.28,0.0
2025-05-06T21:54,21.25,0.0
2025-05-06T21:56,21.33,0.0
2025-05-06T21:58,21.31,0.0
2025-05-06T22:00,21.29,0.0
2025-05-06T22:02,21.24,0.0
2025-05-06T22:04,21.24,0.0
2025-05-06T22:06,21.25,0.0
2025-05-06T22:08,21.27,0.0
2025-05-06T22:10,21.27,0.0
2025-05-06T22:12,21.25,0.0
2025-05-06T22:14,21.19,0.0
2025-05-06T22:16,21.2,0.0
2025-05-06T22:18,21.22,0.0
2025-05-06T22:20,21.19,0.0
2025-05-06T22:22,21.17,0.0
2025-05-06T22:24,21.17,0.0
2025-05-06T22:26,21.2,0.0
2025-05-06T22:28,21.13,0.0
2025-05-06T22:30,21.12,0.0
2025-05-06T22:32,21.09,0.0
2025-05-06T22:34,21.12,0.0
2025-05-06T22:36,21.12,0.0
2025-05-06T22:38,21.14,0.0
2025-05-06T22:40,21.13,0.0
2025-05-06T22:42,21.13,0.0
2025-05-06T22:44,21.08,0.0
2025-05-06T22:46,21.06,0.0
2025-05-06T22:48,21.04,0.0
2025-05-06T22:50,21.06,0.0
2025-05-06T22:52,21.14,0.0
2025-05-06T22:54,21.08,0.0
2025-05-06T22:56,21.04,0.0
2025-05-06T22:58,21.02,0.0
2025-05-06T23:00,21.01,0.0
2025-05-06T23:02,21.06,0.0
2025-05-06T23:04,21.01,0.0
2025-05-06T23:06,20.97,0.0
2025-05-06T23:08,20.96,0.0
2025-05-06T23:10,20.99,0.0
2025-05-06T23:12,20.93,0.0
2025-05-06T23:14,20.92,0.0
2025-05-06T23:16,21.01,0.0
2025-05-06T23:18,20.98,0.0
2025-05-06T23:20,20.97,0.0
2025-05-06T23:22,20.97,0.0
2025-05-06T23:24,20.93,0.0
2025-05-06T23:26,20.94,0.0
2025-05-06T23:28,20.92,0.0
2025-05-06T23:30,20.97,0.0
2025-05-06T23:32,20.98,0.0
2025-05-06T23:34,20.97,0.0
2025-05-06T23:36,20.88,0.0
2025-05-06T23:38,20.91,0.0
2025-05-06T23:40,20.9,0.0
2025-05-06T23:42,20.97,0.0
2025-05-06T23:44,20.92,0.0
2025-05-06T23:46,20.93,0.0
2025-05-06T23:48,20.91,0.0
2025-05-06T23:50,20.89,0.0
2025-05-06T23:52,20.91,0.0
2025-05-06T23:54,20.83,0.0
2025-05-06T23:56,20.85,0.0
2025-05-06T23:58,20.81,0.0
2025-05-07T00:00,20.84,0.0
2025-05-07T00:02,20.83,0.0
2025-05-07T00:04,20.88,0.0
2025-05-07T00:06,20.81,0.0
2025-05-07T00:08,20.84,0.0
2025-05-07T00:10,20.84,0.0
2025-05-07T00:12,20.86,0.0
2025-05-07T00:14,20.83,0.0
2025-05-07T00:16,20.77,0.0
